T_TL_TIMELINE_DATA_UID,T_TL_TIMELINE_DATA_UID,process01,waiting1-2,processing02,waiting2-3,process03,waiting3-4,processing4,waiting4-5,processing5,waiting5-6,processing6,waiting6-7,processing7,waiting7-8,processing8,waiting8-9,processing9,
152337,152337,35,16,62,5,10,4,9,21,11,61,25,77,30,110,32,157,48,713
152338,152338,35,18,116,5,8,4,8,20,12,25,25,105,26,111,33,263,125,939
152339,152339,35,62,69,6,14,3,11,25,11,112,24,25,32,110,34,445,20,1038
152340,152340,35,14,82,9,9,3,7,58,11,24,24,90,34,229,34,748,39,1450
152341,152341,35,6,87,8,9,4,8,18,14,33,24,226,45,770,32,106,42,1467
152342,152342,35,29,95,39,11,5,11,18,11,97,24,796,63,33,33,72,36,1408
152343,152343,35,54,192,24,80,3,11,144,10,524,24,33,32,44,33,73,33,1349
152344,152344,35,130,182,412,12,7,9,93,12,61,24,29,45,15,33,69,34,1202
152345,152345,35,515,43,27,12,4,10,28,11,36,25,45,36,26,33,74,34,994
152346,152346,35,108,47,6,10,4,8,19,11,13,24,11,27,16,33,75,37,484
152348,152348,35,11,46,9,10,3,7,17,11,27,25,36,29,10,31,38,34,379
152349,152349,35,12,39,12,11,4,8,19,11,25,25,41,27,29,32,28,39,397
152351,152351,36,18,43,7,10,3,7,19,12,29,25,48,27,22,33,63,63,465
152352,152352,35,8,48,8,9,5,7,18,10,41,24,32,37,17,32,84,35,450
152354,152354,35,5,42,10,11,4,9,17,10,47,24,15,47,14,32,80,93,495
152356,152356,35,9,44,10,11,3,8,22,12,18,24,35,61,20,32,113,33,490
152358,152358,35,9,43,16,10,3,8,16,12,18,24,58,29,32,33,102,36,484
152359,152359,35,11,103,7,10,5,7,21,12,16,25,45,27,33,34,310,33,734
152361,152361,36,61,46,13,11,5,7,21,12,19,25,24,29,198,33,145,33,718
152364,152364,35,2,43,6,11,3,7,14,11,22,24,28,31,45,33,43,65,423
152365,152365,35,8,43,7,12,3,9,18,10,21,25,9,27,54,32,78,43,434
152366,152366,36,7,31,24,12,4,6,16,13,25,24,6,26,32,32,97,37,428
152369,152369,36,92,38,7,13,4,8,22,12,47,24,13,44,4,33,34,33,464
152372,152372,35,8,51,9,11,4,7,21,11,51,24,13,30,14,32,34,35,390
152374,152374,35,37,40,7,11,3,8,18,11,14,24,30,43,13,33,29,36,392
152376,152376,35,3,44,10,11,4,7,20,10,25,24,40,26,10,32,27,50,378
152378,152378,36,7,48,11,10,5,8,20,10,24,24,33,29,10,33,34,37,379
152379,152379,35,5,42,17,13,3,8,18,11,25,25,15,40,11,32,31,40,371
152381,152381,36,11,48,11,11,3,7,17,11,24,24,18,41,10,33,46,35,386
152383,152383,35,10,39,16,12,4,8,17,10,22,24,20,38,29,33,23,37,377
152385,152385,35,18,41,6,14,3,8,16,11,21,25,33,38,11,32,24,36,372
152387,152387,35,2,40,15,15,4,7,17,9,35,24,15,36,10,32,29,39,364
152388,152388,35,9,47,13,8,4,7,16,11,32,24,15,44,6,32,30,36,369
152390,152390,36,12,45,9,11,3,8,16,11,29,26,14,48,4,32,25,35,364
152392,152392,36,8,45,8,10,3,7,19,10,27,25,19,39,8,33,24,37,358
152394,152394,35,12,47,7,10,3,8,17,11,27,24,12,28,27,32,47,34,381
152396,152396,36,8,41,11,38,4,20,17,10,19,25,8,31,13,34,37,29,381
152398,152398,35,4,44,34,25,3,9,14,12,19,24,6,31,20,31,112,40,463
152399,152399,36,31,39,28,11,3,8,16,10,23,24,6,30,77,33,51,41,467
152401,152401,35,28,40,8,10,3,7,16,11,99,25,37,29,20,33,90,52,543
152403,152403,36,5,46,43,17,4,7,28,12,50,24,17,32,30,32,100,32,515
152405,152405,35,40,52,23,15,5,5,20,11,23,24,26,31,60,32,77,34,513
152407,152407,36,25,44,18,11,6,8,16,10,12,24,21,34,84,32,62,33,476
152410,152410,36,15,42,15,9,3,7,23,10,21,24,25,33,58,34,65,35,455
152411,152411,35,9,42,17,10,4,7,45,14,68,25,23,42,13,33,54,54,495
152412,152412,36,76,38,7,11,2,7,17,11,33,25,27,36,22,33,71,30,482
152414,152414,36,1,40,11,10,3,8,15,12,26,25,25,27,39,32,63,34,407
152416,152416,35,7,42,9,10,3,8,20,10,14,25,17,27,55,32,60,49,423
152417,152417,35,3,42,13,9,3,6,22,10,23,24,17,26,49,33,70,29,414
152418,152418,35,5,45,11,22,3,9,25,10,39,24,72,30,3,32,58,30,453
152419,152419,35,12,65,10,10,3,7,23,11,22,25,65,25,27,32,98,32,502
152420,152420,35,12,44,12,11,3,8,18,11,52,24,10,38,27,31,107,36,479
152422,152422,35,9,47,16,9,3,8,21,12,25,24,17,27,83,32,65,35,468
152423,152423,35,16,72,7,10,4,7,18,10,40,25,27,49,13,33,342,32,740
152425,152425,36,3,43,8,11,3,7,27,11,22,24,62,52,87,32,328,37,793
152427,152427,36,4,55,12,12,3,7,26,10,380,24,39,26,14,33,72,38,791
152428,152428,36,22,41,20,10,3,6,357,12,79,24,7,25,16,32,62,33,785
152430,152430,36,13,42,81,10,260,9,67,11,32,24,26,48,19,34,25,33,770
152432,152432,35,144,48,245,11,3,7,19,12,44,24,26,36,14,33,31,32,764
152435,152435,36,250,42,9,11,2,8,26,10,42,24,29,35,30,32,103,32,721
152440,152440,36,7,42,18,10,3,8,18,11,36,24,39,28,14,32,111,40,477
152441,152441,35,10,39,18,10,3,7,16,11,41,26,14,86,38,33,101,36,524
152443,152443,35,11,39,13,10,3,7,21,10,20,26,109,31,41,32,75,34,517
152445,152445,36,6,42,13,9,3,7,21,10,83,25,79,38,25,32,47,34,510
152447,152447,35,10,39,16,10,3,6,61,10,88,25,37,29,25,31,62,41,528
152449,152449,36,10,41,8,11,35,6,78,11,45,25,16,32,23,32,78,35,522
152450,152450,36,4,47,98,11,2,9,19,12,21,24,29,56,11,32,67,35,513
152452,152452,35,165,30,6,10,3,7,17,10,39,25,17,59,9,32,79,33,576
152456,152456,36,1,48,5,10,2,8,22,11,15,25,42,30,17,32,82,27,413
152458,152458,36,16,40,12,9,3,9,17,12,21,25,12,30,60,32,48,28,410
152460,152460,36,7,43,19,11,2,7,19,10,20,25,25,43,21,33,57,30,408
152461,152461,35,18,36,21,10,3,6,23,9,30,24,15,41,27,32,45,24,399
152462,152462,36,13,43,14,10,3,6,16,10,13,25,29,34,37,32,783,29,1133
152463,152463,36,13,39,11,10,2,7,16,11,11,25,23,35,47,33,771,28,1118
152464,152464,35,7,40,10,9,3,7,25,11,17,25,15,38,753,32,46,27,1100
152465,152465,35,6,38,20,9,3,9,19,12,9,25,261,29,517,33,48,29,1102
152467,152467,36,12,38,19,10,3,8,23,10,229,24,497,38,35,33,47,26,1088
152469,152469,35,13,37,707,12,3,7,19,12,31,24,9,30,33,33,45,28,1078
152473,152473,35,599,42,72,12,3,8,27,11,67,25,41,27,14,34,103,29,1149
152484,152484,35,70,43,26,11,2,8,50,12,37,25,16,33,13,32,105,30,548
152488,152488,35,22,42,13,11,22,8,35,11,14,25,73,63,16,32,47,30,499
152490,152490,35,10,45,15,9,23,9,17,11,55,26,63,28,15,33,49,31,474
152492,152492,36,13,44,31,9,3,8,41,11,61,25,15,44,10,34,45,29,459
152494,152494,35,26,39,7,9,22,6,51,10,25,24,27,40,63,33,58,31,506
152496,152496,36,3,40,17,13,30,8,16,10,32,24,26,32,64,32,64,30,477
152498,152498,35,14,53,29,11,3,7,18,10,21,24,17,36,80,33,85,34,510
152500,152500,35,25,39,10,10,3,9,20,11,44,25,30,29,44,32,85,38,489
152503,152503,35,3,40,18,30,3,7,16,11,20,24,47,79,42,32,32,34,473
152505,152505,35,11,40,33,12,4,6,17,12,30,24,125,28,25,31,58,32,523
152506,152506,35,30,39,16,11,4,7,17,11,121,25,26,29,11,32,67,122,603
152508,152508,35,8,45,11,10,2,10,95,10,33,25,14,44,20,32,149,34,577
152510,152510,35,9,38,32,11,50,7,23,11,22,25,41,48,20,32,132,30,566
152511,152511,36,23,36,73,26,5,6,16,11,30,24,57,29,63,33,72,66,606
152513,152513,36,64,40,31,12,3,7,20,10,42,24,74,34,17,32,106,32,584
152515,152515,36,22,38,21,10,4,7,16,10,80,24,69,23,20,34,71,45,530
152517,152517,36,12,42,12,11,3,7,54,10,28,24,57,31,46,33,69,61,536
152519,152519,35,8,39,7,11,33,7,17,10,65,24,35,32,39,33,95,39,529
152521,152521,35,5,45,35,10,3,7,40,11,42,25,43,50,13,32,93,31,520
152523,152523,36,30,43,34,9,2,7,18,10,52,25,38,57,31,31,68,34,525
152525,152525,36,28,49,7,9,3,7,24,10,41,25,49,38,35,32,68,34,495
152527,152527,35,4,37,19,10,3,10,16,11,54,25,45,44,19,32,60,36,460
152529,152529,35,61,37,7,11,3,7,23,11,21,25,36,31,27,32,59,49,475
